Nr of rnds     PI  
10000          3.1375363801086564
10000          3.1375363801086564
10000          3.1298431857438063
10000          3.135479316206091
10000          3.148923055666915
10000          3.1570203370643455
10000          3.1255087505121213
10000          3.1324012925752185
10000          3.1377937978701027
100000          3.1423606036056193
100000          3.1466358027494055
